# objid,ra,dec
587742572151374147,177.1380745, 19.50087261
 588013382200131773,159.68160026,48.8215933
 588013382200131774, 159.67786606, 48.82229409
 588017605222793376, 190.1345157, 45.15079076
 588023046402670876, 135.34321049,18.24231627
 588848901528223970,191.21400615, 1.11193257
588848901528223971,191.21257821, 1.11222194
588013382206357664, 181.50871224, 51.70820438
588295841784725744,174.41690253, 49.60987175
 587741600957333763,182.34869727,26.6796452
587742902862086260, 186.82808228, 17.43107014
 587730773880078847, 339.63047433,13.33218384
587744873710682762,120.05441848,8.20232396
 587732484357095512, 173.30488333, 50.14447842
587731870173298881, 189.40082835, 55.56190979
 587736980648362708,260.90067032, 34.19946453
 587742014344265970, 152.2490633,19.62151556
587742014344265969,152.24695521,19.62092953
587731868557115670, 167.76534454, 53.14858718
587731868557115671, 167.76378766, 53.14774276
 587741709956546742,174.53730655, 27.9085314
587742191511273514, 173.52808224,25.55977002
 587741421640024462,135.01101894, 22.56801561
587742611340001632, 220.4548069, 14.68904854
588290880028999911,5.67049154, 14.51956525
587727230523080836, 26.73337065,-9.49791496
587739115775197598,126.87013375, 22.54831707
587733412060987606,227.82806483,47.22787249
 588297863115047025,162.42975402, 44.34322791
587741829121638526, 168.294359, 23.94431091
587733441053065699, 247.47734696, 35.47763614
588017625088393410, 205.88688803,41.91763425
587745403607319063, 130.08769754,10.8701825
 587732483269198209, 132.8604223, 35.97049854
 588023239671939597,140.3572627, 18.17148017
 587729386608722049, 153.77402666,55.50505929
 587738617559843056,162.34745045,  35.74471377
 587727226228834771,4.25642966,  -10.15308799
 587732701250519458, 149.41329988,5.15886783
 588013383817101501,181.89964171, 52.91645343
588017979434795493, 199.54796061, 39.70748791
 587742013284679929,186.71535583, 21.87373676
 587736542562419006,231.93759592, 6.87607048
 587738948281499819, 148.16760451,34.579465
 588017605770477796, 222.62769859, 39.1386469
